contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MSFT241227C00230000,2024-12-20 15:11:03+00:00,230.0,200.4,203.45,207.5,0.0,0.0,3.0,6,2.535159912109375,True,REGULAR,USD,2024-12-27
MSFT241227C00250000,2024-12-04 14:54:50+00:00,250.0,190.0,183.5,187.5,0.0,0.0,2.0,2,2.259769975585937,True,REGULAR,USD,2024-12-27
MSFT241227C00260000,2024-12-20 14:50:31+00:00,260.0,170.0,173.5,177.5,0.0,0.0,4.0,4,2.113285966796875,True,REGULAR,USD,2024-12-27
MSFT241227C00280000,2024-11-22 16:14:16+00:00,280.0,134.0,153.5,157.5,0.0,0.0,1.0,1,1.8378914355468747,True,REGULAR,USD,2024-12-27
MSFT241227C00290000,2024-12-06 19:51:39+00:00,290.0,154.84,143.5,147.5,0.0,0.0,1.0,1,1.705079599609375,True,REGULAR,USD,2024-12-27
MSFT241227C00295000,2024-12-20 16:19:22+00:00,295.0,144.51,138.5,142.5,0.0,0.0,2.0,1,1.640626796875,True,REGULAR,USD,2024-12-27
MSFT241227C00300000,2024-12-20 15:56:31+00:00,300.0,136.76,133.85,136.65,0.0,0.0,5.0,14,0.500005,True,REGULAR,USD,2024-12-27
MSFT241227C00305000,2024-12-23 16:38:39+00:00,305.0,129.0,128.85,131.65,-6.2700043,-4.635177,3.0,3,0.500005,True,REGULAR,USD,2024-12-27
MSFT241227C00310000,2024-12-20 19:36:51+00:00,310.0,130.38,123.85,126.65,0.0,0.0,1.0,3,0.500005,True,REGULAR,USD,2024-12-27
MSFT241227C00315000,2024-12-19 16:48:54+00:00,315.0,127.76,118.85,121.65,0.0,0.0,1.0,24,0.500005,True,REGULAR,USD,2024-12-27
MSFT241227C00320000,2024-12-19 20:18:50+00:00,320.0,118.8,113.85,116.65,0.0,0.0,3.0,8,0.500005,True,REGULAR,USD,2024-12-27
MSFT241227C00325000,2024-11-19 16:17:25+00:00,325.0,90.15,110.0,113.8,0.0,0.0,1.0,1,1.7573254321289062,True,REGULAR,USD,2024-12-27
MSFT241227C00330000,2024-12-19 20:17:49+00:00,330.0,108.8,103.85,106.7,0.0,0.0,1.0,5,0.929688203125,True,REGULAR,USD,2024-12-27
MSFT241227C00335000,2024-12-19 15:31:51+00:00,335.0,106.03,98.85,101.7,0.0,0.0,2.0,2,0.8828136718749999,True,REGULAR,USD,2024-12-27
MSFT241227C00340000,2024-12-19 20:18:52+00:00,340.0,98.9,93.95,96.7,0.0,0.0,1.0,506,0.9414068359375,True,REGULAR,USD,2024-12-27
MSFT241227C00345000,2024-12-23 19:21:41+00:00,345.0,91.45,88.85,91.7,-2.7700043,-2.9399323,2.0,3,0.7929708203125,True,REGULAR,USD,2024-12-27
MSFT241227C00350000,2024-12-20 17:53:43+00:00,350.0,92.54,83.9,86.7,0.0,0.0,2.0,11,0.804689453125,True,REGULAR,USD,2024-12-27
MSFT241227C00355000,2024-12-20 15:20:43+00:00,355.0,79.37,78.75,81.7,1.5300064,1.9655787,6.0,9,1.2763708056640621,True,REGULAR,USD,2024-12-27
MSFT241227C00360000,2024-12-18 20:25:32+00:00,360.0,84.36,74.25,76.7,0.0,0.0,2.0,2,0.85937640625,True,REGULAR,USD,2024-12-27
MSFT241227C00365000,2024-12-20 20:53:47+00:00,365.0,70.71,69.25,71.7,0.0,0.0,1.0,7,0.805666005859375,True,REGULAR,USD,2024-12-27
MSFT241227C00370000,2024-12-23 16:49:34+00:00,370.0,64.39,64.5,66.75,-6.5999985,-9.297083,3.0,42,0.8149432568359375,True,REGULAR,USD,2024-12-27
MSFT241227C00375000,2024-12-19 16:27:34+00:00,375.0,68.05,58.9,61.75,0.0,0.0,10.0,14,0.5996133789062501,True,REGULAR,USD,2024-12-27
MSFT241227C00380000,2024-12-23 14:59:12+00:00,380.0,56.76,53.9,56.75,-3.290001,-5.4787693,4.0,18,0.55273884765625,True,REGULAR,USD,2024-12-27
MSFT241227C00385000,2024-12-19 18:25:58+00:00,385.0,56.05,48.85,51.8,0.0,0.0,12.0,14,0.5048877636718749,True,REGULAR,USD,2024-12-27
MSFT241227C00390000,2024-12-23 15:31:13+00:00,390.0,44.5,44.35,46.8,-6.630001,-12.966949,138.0,173,0.5722699023437501,True,REGULAR,USD,2024-12-27
MSFT241227C00392500,2024-12-19 20:49:59+00:00,392.5,46.0,41.45,44.3,0.0,0.0,,1,0.7668480346679689,True,REGULAR,USD,2024-12-27
MSFT241227C00395000,2024-12-20 18:57:22+00:00,395.0,42.31,39.05,41.85,-3.289997,-7.2149057,25.0,42,0.7380397290039062,True,REGULAR,USD,2024-12-27
MSFT241227C00397500,2024-12-19 20:50:00+00:00,397.5,40.95,36.9,39.3,0.0,0.0,,1,0.6962920996093751,True,REGULAR,USD,2024-12-27
MSFT241227C00400000,2024-12-23 17:15:26+00:00,400.0,34.2,35.0,36.8,-2.0999985,-5.78512,3.0,5018,0.5307664111328125,True,REGULAR,USD,2024-12-27
MSFT241227C00405000,2024-12-23 15:37:25+00:00,405.0,29.56,29.05,31.9,-5.000002,-14.467597,20.0,157,0.6002237243652344,True,REGULAR,USD,2024-12-27
MSFT241227C00407500,2024-12-20 17:20:32+00:00,407.5,35.5,26.6,29.45,0.0,0.0,1.0,2,0.5688519677734375,True,REGULAR,USD,2024-12-27
MSFT241227C00410000,2024-12-23 19:24:17+00:00,410.0,26.56,24.5,26.9,-0.44000053,-1.6296316,31.0,337,0.5267381311035157,True,REGULAR,USD,2024-12-27
MSFT241227C00412500,2024-12-20 20:28:56+00:00,412.5,25.23,21.65,25.4,0.0,0.0,6.0,27,0.5792278405761719,True,REGULAR,USD,2024-12-27
MSFT241227C00415000,2024-12-23 20:46:41+00:00,415.0,20.63,19.55,22.95,-5.3200016,-20.500969,17.0,495,0.5418746984863283,True,REGULAR,USD,2024-12-27
MSFT241227C00417500,2024-12-23 15:50:00+00:00,417.5,17.5,17.05,20.35,-2.2999992,-11.6161585,9.0,72,0.4919484399414063,True,REGULAR,USD,2024-12-27
MSFT241227C00420000,2024-12-23 20:54:41+00:00,420.0,15.85,15.25,17.05,-1.4499989,-8.381496,49.0,1809,0.38672488281249995,True,REGULAR,USD,2024-12-27
MSFT241227C00422500,2024-12-23 20:47:39+00:00,422.5,13.38,11.65,15.65,-1.2699995,-8.668939,28.0,36,0.42676354492187507,True,REGULAR,USD,2024-12-27
MSFT241227C00425000,2024-12-23 20:08:26+00:00,425.0,10.45,10.65,11.4,-2.1000004,-16.73307,113.0,1976,0.2534254345703125,True,REGULAR,USD,2024-12-27
