contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MSFT241227P00230000,2024-12-20 15:11:27+00:00,230.0,0.01,0.0,0.01,0.0,0.0,3.0,8,1.78125109375,False,REGULAR,USD,2024-12-27
MSFT241227P00240000,2024-12-13 16:30:05+00:00,240.0,0.1,0.0,0.01,0.0,0.0,1.0,4,1.6875015625,False,REGULAR,USD,2024-12-27
MSFT241227P00250000,2024-12-20 20:20:36+00:00,250.0,0.01,0.0,0.01,0.0,0.0,323.0,334,1.5625021874999998,False,REGULAR,USD,2024-12-27
MSFT241227P00260000,2024-12-20 20:21:17+00:00,260.0,0.01,0.0,0.01,0.0,0.0,860.0,910,1.46875265625,False,REGULAR,USD,2024-12-27
MSFT241227P00270000,2024-12-23 15:45:59+00:00,270.0,0.01,0.0,0.01,0.0,0.0,1.0,755,1.3750031249999999,False,REGULAR,USD,2024-12-27
MSFT241227P00280000,2024-12-20 20:26:40+00:00,280.0,0.01,0.0,0.01,0.0,0.0,1183.0,1797,1.2500037499999999,False,REGULAR,USD,2024-12-27
MSFT241227P00285000,2024-12-23 15:13:27+00:00,285.0,0.01,0.0,0.01,0.0,0.0,686.0,168,1.21875390625,False,REGULAR,USD,2024-12-27
MSFT241227P00290000,2024-12-19 20:42:43+00:00,290.0,0.02,0.0,0.01,0.0,0.0,212.0,213,1.15625421875,False,REGULAR,USD,2024-12-27
MSFT241227P00295000,2024-12-19 20:41:01+00:00,295.0,0.02,0.0,0.01,0.0,0.0,,202,1.125004375,False,REGULAR,USD,2024-12-27
MSFT241227P00300000,2024-12-09 19:09:56+00:00,300.0,0.01,0.0,0.01,0.0,0.0,1.0,13,1.0625046875000002,False,REGULAR,USD,2024-12-27
MSFT241227P00305000,2024-12-20 15:47:23+00:00,305.0,0.02,0.0,0.41,0.0,0.0,1.0,1,1.4765651171875,False,REGULAR,USD,2024-12-27
